Designator,Mid X,Mid Y,Rotation,Layer
R67,219.5,-130.825,90.0,top
R68,219.5,-160.825,90.0,top
R69,219.45,-191.325,90.0,top
R7,39.5,-161.075,90.0,top
R70,219.2,-220.95,90.0,top
R71,219.2,-251.3,90.0,top
R72,313.05,-239.3,0.0,top
R73,313.05,-242.0,180.0,top
R74,311.74,-288.75,0.0,top
R8,39.5,-131.125,90.0,top
R9,39.55,-100.7,90.0,top
S1,304.1,-108.75,90.0,top
S2,304.1,-124.75,90.0,top
S3,304.15,-176.35,90.0,top
S4,304.15,-192.35,90.0,top
U1,295.5,-303.0,270.0,top
U2,207.465,-314.0,0.0,top
U3,300.0,-253.5,270.0,top
Y1,294.5,-325.5,0.0,top
Y3,320.0,-324.0,270.0,top
